row_id,pool,model,provider,source_run,task_id,task_family,language,domain,arm,repetition,candidate_applies,patch_apply_check_ok,stage1_success,state_contract_valid,extract_ok,action_governance_success,test_passed,deterministic_edit_apply_success,state_json_valid,answer_success,candidate_validate_ok,stage1_state_valid,docker_verifier_entered,stage2_stage_contract_valid,edit_json_valid,generation_ok,state_governance_success,reliable_composite_success,stage1_json_valid,docker_scored,stage1_prompt_chars,created_files_count,timeout_seconds,context_chars,file_op_max_files,repeat_index,reward,max_tokens,stage1_completion_tokens,budget,prompt_chars,completion_tokens,retry_count,stage1_prompt_tokens,skipped_count,included_count,jobs,candidate_file_count,deleted_files_count,modified_files_count,stage1_total_tokens,prompt_tokens,search_replace_max_edits,total_tokens,stage1_max_tokens,row_index,repair_count,state_contract,edit_format,patch_transport,failure_step,failure_reason,final_failure_category,finish_reason,stage1_finish_reason,method,action_governance_harmonized,timestamp_utc
e992da87a05ca9e9d2343aae,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,0,,,,1,0,0,,0,1,0,,,,,0,1,0,0,,,,,,319981,8,0,,,,600,364447,32768,,,583,29,,612,,,,96983,6,129751,,1,0,answer_state,file_ops_json,edit_json,finish_reason_length,edit_json_invalid,finish_reason_length,length,,loop_only,0,2026-07-07T10:21:34.679620Z
c7dfc6d95aa499c610e11237,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,1,,1,,1,1,1,0,1,1,0,1,,,,1,1,1,0,,1,,,,319981,8,1,0.0,,,600,364447,1732,,,583,29,,612,,,,96983,6,98715,,2,0,answer_state,file_ops_json,edit_json,test_failed,,,stop,,loop_only,1,2026-07-07T13:08:24.921834Z
706410fe0abc3093bbc401f1,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,2,,1,,1,1,1,0,1,1,0,1,,,,1,1,1,0,,1,,,,319981,8,2,0.0,,,600,364447,1661,,,583,29,,612,,,,96983,6,98644,,3,0,answer_state,file_ops_json,edit_json,test_failed,,,stop,,loop_only,1,2026-07-07T13:08:46.495502Z
1260188113563f2c0e71f2fd,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,3,,1,,1,1,1,0,1,1,0,1,,,,1,1,1,0,,1,,,,319981,8,3,0.0,,,600,364447,1610,,,583,29,,612,,,,96983,6,98593,,4,0,answer_state,file_ops_json,edit_json,test_failed,,,stop,,loop_only,1,2026-07-07T13:09:08.042072Z
327e46dfbdcea1a6be7b001d,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,4,,1,,1,1,1,0,1,1,0,1,,,,1,1,1,0,,1,,,,319981,8,4,0.0,,,600,364447,1694,,,583,29,,612,,,,96983,6,98677,,5,0,answer_state,file_ops_json,edit_json,test_failed,,,stop,,loop_only,1,2026-07-07T13:09:30.446874Z
a0fe5efca56e5f6b0294b31a,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,5,,,,1,0,0,,0,1,0,,,,,0,1,0,0,,,,,,319981,8,5,,,,600,364447,32768,,,583,29,,612,,,,96983,6,129751,,6,0,answer_state,file_ops_json,edit_json,finish_reason_length,edit_json_invalid,finish_reason_length,length,,loop_only,0,2026-07-07T10:21:46.061121Z
cc3e90f3daafc00bf2730b77,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,6,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319981,8,6,,,,600,364447,3897,,,583,29,,612,,,,96983,6,100880,,7,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:19:29.455569Z
de0730afe3299e4377b98459,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,7,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319981,8,7,,,,600,364447,3738,,,583,29,,612,,,,96983,6,100721,,8,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:19:42.216763Z
f10922d9eb49f0c01e3101d1,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,0,,1,1,1,1,1,0,1,1,0,1,1,,1,1,1,1,0,,1,43678,,,319981,64,0,0.0,,1912,600,365228,3347,,12505,583,29,,612,,,14417,101239,6,104586,,9,1,answer_state,file_ops_json,edit_json,test_failed,,,stop,stop,loop_only,1,2026-07-07T13:10:25.710087Z
b3c6603e269caeddad77016c,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,1,,1,1,1,1,1,0,1,1,0,1,1,,1,1,1,1,0,,1,43678,,,319981,64,1,0.0,,1946,600,365228,2589,,12505,583,29,,612,,,14451,102003,6,104592,,10,1,answer_state,file_ops_json,edit_json,test_failed,,,stop,stop,loop_only,1,2026-07-07T13:10:59.346426Z
32d4b46f71a0b2abaaf3eba7,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,2,,0,1,1,0,0,0,0,1,0,0,1,,0,1,1,0,0,,0,43678,,,319981,64,2,,,1870,600,365228,5846,,12505,583,29,,612,,,14375,100724,6,106570,,11,1,answer_state,file_ops_json,edit_json,stage2_contract_failed,stage2_edit_outside_stage_state,stage2_contract_failed,stop,stop,loop_only,0,2026-07-07T10:21:39.544064Z
e26a4e483a918d9269183026,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,3,,,1,1,0,0,,0,1,,,1,,1,1,1,0,,,,43678,,,319981,64,3,,,2023,600,365228,3135,,12505,583,29,,612,,,14528,101360,6,104495,,12,1,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,stop,loop_only,0,2026-07-07T10:22:39.068394Z
ee7f92a184dba0797f54212b,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,4,,1,1,1,1,1,0,1,1,0,1,1,,1,1,1,1,0,,1,43678,,,319981,64,4,0.0,,1757,600,365228,1547,,12505,583,29,,612,,,14262,100707,6,102254,,13,1,answer_state,file_ops_json,edit_json,test_failed,,,stop,stop,loop_only,1,2026-07-07T13:11:54.734879Z
900347f8ce2386d3324beac9,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,5,,0,1,1,0,0,0,0,1,0,0,1,,0,1,1,0,0,,0,43678,,,319981,64,5,,,1771,600,365228,11723,,12505,583,29,,612,,,14276,101258,6,112981,,14,1,answer_state,file_ops_json,edit_json,stage2_contract_failed,stage2_edit_outside_stage_state,stage2_contract_failed,stop,stop,loop_only,0,2026-07-07T10:24:34.936229Z
60254c14e23b46c142767219,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,6,,,1,1,0,0,,0,1,,,1,,1,1,1,0,,,,43678,,,319981,64,6,,,1967,600,365228,3628,,12505,583,29,,612,,,14472,101475,6,105103,,15,1,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,stop,loop_only,0,2026-07-07T10:23:44.433105Z
86576aea3bbd45c87865f825,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.1.0-roadmap,dsl,Rust,ORM & Validation,staged_v4,7,,1,1,1,1,1,0,1,1,0,1,1,,1,1,1,1,0,,1,43678,,,319981,64,7,0.0,,2187,600,365228,2167,,12505,583,29,,612,,,14692,101824,6,103991,,16,1,answer_state,file_ops_json,edit_json,test_failed,,,stop,stop,loop_only,1,2026-07-07T13:12:57.393059Z
af7b896e0bdb3615592972c4,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.2.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,0,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319964,8,0,,,,600,370925,5008,,,613,25,,638,,,,101946,6,106954,,17,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:23:38.661872Z
95ec2a5216d4c5b2e5127e1f,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.2.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,1,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319964,8,1,,,,600,370925,12504,,,613,25,,638,,,,101946,6,114450,,18,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:24:51.637569Z
c2376483bece74cd6864f9bf,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.2.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,2,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319964,8,2,,,,600,370925,12140,,,613,25,,638,,,,101946,6,114086,,19,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:24:55.677073Z
781b037d087845de616de3ab,deepseek_clean,deepseek-v4-flash,,roadmapbench_mainmatrix_v2_deepseek_flash_30task_v3_v4_8rep_960_20260707,dsl-2.2.0-roadmap,dsl,Rust,ORM & Validation,single_shot_v3,3,,,,1,0,0,,0,1,,,,,,1,1,0,,,,,,,319964,8,3,,,,600,370925,5086,,,613,25,,638,,,,101946,6,107032,,20,0,answer_state,file_ops_json,edit_json,edit_apply_failed,edit_apply_failed,edit_apply_failed,stop,,loop_only,0,2026-07-07T10:25:07.064152Z
